t,i,k,hs02_desc,section,section_name,v,share
2021,398,70511,"Vegetables: cabbage (head) lettuce (lactuca sativa), fresh or chilled",2,Vegetable products,29.554,5.465657402119309e-7
2021,398,70519,"Vegetables: lettuce (lactuca sativa), (other than cabbage lettuce), fresh or chilled",2,Vegetable products,4.668,8.632905445318042e-8
2021,398,70529,"Vegetables: chicory (cichorium spp.), (other than witloof chicory), fresh or chilled",2,Vegetable products,2.407,4.451457456486831e-8
2021,398,70610,"Vegetables, root: carrots and turnips, fresh or chilled",2,Vegetable products,735.544,1.3603003005293515e-5
2021,398,70690,"Vegetables, root: salad beetroot, salsify, celeric, radishes and similar edible roots, fresh or chilled",2,Vegetable products,398.579,7.371239973199271e-6
2021,398,70700,"Vegetables: cucumbers and gherkins, fresh or chilled",2,Vegetable products,3122.163,5.774065544959407e-5
2021,398,70810,"Vegetables, leguminous: peas (pisum sativum), shelled or unshelled, fresh or chilled",2,Vegetable products,3.598,6.654068935787127e-8
2021,398,70820,"Vegetables, leguminous: beans (vigna spp., phaseolus spp.), shelled or unshelled, fresh or chilled",2,Vegetable products,0.144,2.6631070782472106e-9
2021,398,70920,"Vegetables: asparagus, fresh or chilled",2,Vegetable products,0.024,4.4385117970786846e-10
2021,398,70930,"Vegetables: aubergines, (egg plants), fresh or chilled",2,Vegetable products,106.867,1.976376834243366e-6
2021,398,70940,"Vegetables: celery (other than celeriac), fresh or chilled",2,Vegetable products,1.156,2.137883182259566e-8
2021,398,70960,Vegetables: fruits of the genus capsicum or of the genus pimenta,2,Vegetable products,420.836,7.782856460980855e-6
2021,398,70970,"Vegetables: spinach, New Zealand spinach and orache spinach (garden spinach), fresh or chilled",2,Vegetable products,0.007,1.2945659408146165e-10
2021,398,70990,"Vegetables: edible, n.e.s. in chapter 7, fresh or chilled",2,Vegetable products,403.26000000000005,7.457809447041461e-6
2021,398,71021,"Vegetables, leguminous: peas (pisum sativum), shelled or unshelled, uncooked or cooked by steaming or boiling in water, frozen",2,Vegetable products,1.668,3.0847656989696856e-8
2021,398,71022,"Vegetables, leguminous: beans (vigna spp., phaseolus spp.), shelled or unshelled, uncooked or cooked by steaming or boiling in water, frozen",2,Vegetable products,2.995,5.5388928467711083e-8
2021,398,71030,"Vegetables: spinach, New Zealand spinach and orache spinach (garden spinach), uncooked or cooked by steaming or boiling in water, frozen",2,Vegetable products,10.412,1.9255743679659694e-7
