t,i,j,name,k,hs02_desc,v,q
2021,398,156,People's Republic of China,250610,Quartz: other than natural sands,10.025,      349.500
2021,398,156,People's Republic of China,620312,"Suits: men's or boys', of synthetic fibres (not knitted or crocheted)",8.89,        1.154
2021,398,156,People's Republic of China,250810,"Clays (excluding expanded clays of heading no. 6806): bentonite, whether or not calcined",8.831,       25.000
2021,398,156,People's Republic of China,720928,"Iron or non-alloy steel: (not in coils), flat-rolled, width 600mm or more, cold-rolled, of a thickness of less than 0.5mm",8.799,       13.320
2021,398,156,People's Republic of China,420291,"Cases and containers: with outer surface of leather, of composition leather or of patent leather, n.e.s. in heading no. 4202",8.155,        0.034
2021,398,156,People's Republic of China,620311,"Suits: men's or boys', of wool or fine animal hair (not knitted or crocheted)",6.899,        0.599
2021,398,156,People's Republic of China,740110,Copper: copper mattes,6.718,       63.000
2021,398,156,People's Republic of China,210690,Food preparations: n.e.s. in item no. 2106.10,6.46,        0.099
2021,398,156,People's Republic of China,901590,Surveying equipment: parts and accessories for articles of heading no. 9015,5.914,        0.164
2021,398,156,People's Republic of China,190211,"Food preparations: pasta, containing eggs, uncooked, not stuffed or otherwise prepared",4.59,        8.755
2021,398,156,People's Republic of China,970110,"Paintings, drawings and pastels: executed entirely by hand, other than drawings of heading no. 4906",4,        0.010
2021,398,156,People's Republic of China,920290,"Musical instruments: string, played other than with a bow (eg guitars and harps)",3.938,        0.179
2021,398,156,People's Republic of China,180690,Chocolate and other food preparations containing cocoa: n.e.s. in chapter 18,3.227,        0.476
2021,398,156,People's Republic of China,853400,Circuits: printed,2.982,        0.090
2021,398,156,People's Republic of China,810390,Tantalum: articles n.e.s. in heading no. 8103,2.589,        0.002
2021,398,156,People's Republic of China,970190,Artwork: collages and similar decorative plaques,2.465,        0.200
2021,398,156,People's Republic of China,261100,Tungsten ores and concentrates,2.12,           NA
2021,398,156,People's Republic of China,180632,"Chocolate and other food preparations containing cocoa: in blocks, slabs or bars, (not filled), weighing 2kg or less",2.064,        0.234
2021,398,156,People's Republic of China,830629,Statuettes and other ornaments: of base metal other than plated with precious metal,1.879,        0.013
2021,398,156,People's Republic of China,620443,"Dresses: women's or girls', of synthetic fibres (not knitted or crocheted)",1.727,        0.017
2021,398,156,People's Republic of China,852390,"Media, unrecorded: prepared products n.e.s. in heading no. 8523, for sound or similar recording of other phenomena (excluding products of chapter 37)",1.667,        0.024
2021,398,156,People's Republic of China,840999,Engines: parts for internal combustion piston engines (excluding spark-ignition),1.604,        0.040
2021,398,156,People's Republic of China,490600,"Plans and drawings: for architectural, engineering, industrial, commercial, topographical or similar, being originals drawn by hand: hand-written texts: photo- graphic reproductions: their carbon copies",1.5,        0.200
2021,398,156,People's Republic of China,852691,Radio navigational aid apparatus,1.489,        0.007
2021,398,156,People's Republic of China,250510,"Sands: natural, silica and quartz sands, whether or not coloured",1.437,        1.000
2021,398,156,People's Republic of China,610130,"Coats: men's or boys' overcoats, car-coats, capes, anoraks, wind-jackets and similar articles, of man-made fibres, knitted or crocheted, (excluding those of heading no. 6103)",1.25,        0.011
2021,398,156,People's Republic of China,401699,"Rubber: vulcanised (other than hard rubber), articles n.e.s. in heading no. 4016, of non-cellular rubber",1.104,        0.004
2021,398,156,People's Republic of China,621133,"Track suits and other garments n.e.s.: men's or boys', of man-made fibres (not knitted or crocheted)",1.051,        0.011
2021,398,156,People's Republic of China,620342,"Trousers, bib and brace overalls, breeches and shorts: men's or boys', of cotton (not knitted or crocheted)",0.983,        0.024
2021,398,156,People's Republic of China,848079,"Moulds: for rubber or plastics, other than injection or compression types",0.845,        0.125
2021,398,156,People's Republic of China,220860,Vodka,0.739,        0.030
2021,398,156,People's Republic of China,846610,"Machine-tools: parts and accessories, tool holders and self-opening dieheads",0.736,        0.001
2021,398,156,People's Republic of China,621420,"Shawls, scarves, mufflers, mantillas, veils and the like: of wool or fine animal hair (not knitted or crocheted)",0.716,        0.005
2021,398,156,People's Republic of China,293499,"Nucleic acids and their salts, other heterocyclic compounds, n.e.c. in heading number 2934",0.675,        0.020
2021,398,156,People's Republic of China,611011,"Jerseys, pullovers, cardigans, waistcoats and similar articles: knitted or crocheted, of wool or fine animal hair",0.638,        0.004
2021,398,156,People's Republic of China,271000,"Petroleum oils and oils from bituminous minerals, not crude: preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals: these being the basic constituents of the preparations: waste oils",0.615,        0.005
2021,398,156,People's Republic of China,640399,"Footwear: n.e.s. in heading no. 6403, (not covering the ankle), outer soles of rubber, plastics or composition leather, uppers of leather",0.6,        0.042
2021,398,156,People's Republic of China,610832,"Nightdresses and pyjamas: women's or girls', of man-made fibres, knitted or crocheted",0.499,        0.003
2021,398,156,People's Republic of China,90230,"Tea, black: (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg",0.485,        0.045
2021,398,156,People's Republic of China,392690,Plastics: other articles n.e.s. in chapter 39,0.471,        0.041
2021,398,156,People's Republic of China,252100,"Limestone flux: limestone and other calcareous stone, of a kind used for the manufacture of lime or cement",0.455,        0.086
2021,398,156,People's Republic of China,392330,"Plastics: carboys, bottles, flasks and similar articles, for the conveyance or packing of goods",0.448,        0.119
2021,398,156,People's Republic of China,650590,"Hats and other headgear: knitted or crocheted, or made up from lace, felt or other textile fabrics, in the piece (but not in strips), whether or not lined or trimmed",0.438,        0.004
2021,398,156,People's Republic of China,711620,"Stones: precious or semi-precious stones (natural, synthetic or reconstructed) articles of",0.427,        0.002
2021,398,156,People's Republic of China,811292,"Gallium, hafnium, indium, niobium (columbium) and rhenium: articles thereof, unwrought, including waste and scrap, powders",0.425,        0.004
2021,398,156,People's Republic of China,611020,"Jerseys, pullovers, cardigans, waistcoats and similar articles: of cotton, knitted or crocheted",0.419,        0.012
2021,398,156,People's Republic of China,284190,Salts of oxometallic or peroxometallic acids: n.e.s. in heading no. 2841,0.396,        0.015
2021,398,156,People's Republic of China,701321,"Glassware: drinking glasses, of lead crystal",0.377,        0.051
2021,398,156,People's Republic of China,732611,"Iron or steel: grinding balls and similar articles for mills, forged or stamped, but not further worked",0.375,        0.040
2021,398,156,People's Republic of China,620219,"Coats: women's or girls', overcoats, raincoats, car-coats, capes, cloaks and similar articles, of textile materials (other than wool or fine animal hair, cotton or man-made fibres), other than those of heading no. 6204 (not knitted or crocheted)",0.35,        0.006
2021,398,156,People's Republic of China,330499,"Cosmetic and toilet preparations: n.e.s. in heading no. 3304, for the care of the skin (excluding medicaments, including sunscreen or sun tan preparations)",0.349,        0.001
2021,398,156,People's Republic of China,691410,Ceramic articles n.e.s. in chapter 69: of porcelain or china,0.327,        0.024
2021,398,156,People's Republic of China,870899,"Vehicles: parts and accessories, n.e.s. in heading no. 8708",0.327,        0.001
2021,398,156,People's Republic of China,392350,"Plastics: stoppers, lids, caps and other closures, for the conveyance or packing of goods",0.321,        0.105
2021,398,156,People's Republic of China,220290,"Non-alcoholic beverages: n.e.s. in item no. 2202.10, not including fruit or vegetable juices of heading no. 2009",0.287,        0.399
2021,398,156,People's Republic of China,621143,"Track suits and other garments n.e.s.: women's or girls', of man-made fibres (not knitted or crocheted)",0.276,        0.005
2021,398,156,People's Republic of China,620193,"Anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles: men's or boys', of man-made fibres, other than those of heading no. 6203 (not knitted or crocheted)",0.262,        0.002
2021,398,156,People's Republic of China,151590,"Vegetable fats and oils and their fractions: fixed, n.e.s. in heading no. 1515, whether or not refined, but not chemically modified",0.246,        0.002
2021,398,156,People's Republic of China,811221,"Chromium and articles thereof: unwrought chromium, powders",0.241,        0.001
2021,398,156,People's Republic of China,852330,"Media, unrecorded: cards incorporating a magnetic stripe, prepared, for sound or similar recording of other phenomena, (excluding products of chapter 37)",0.24,        0.001
2021,398,156,People's Republic of China,611030,"Jerseys, pullovers, cardigans, waistcoats and similar articles: of man-made fibres, knitted or crocheted",0.21,        0.042
2021,398,156,People's Republic of China,611019,"Jerseys, pullovers, cardigans, waistcoats and similar articles: knitted or crocheted, of fine animal hair other than that of kashmir (cashmere) goats",0.206,        0.002
