s,i,t,current_level,current_growth,constant_level,constant_growth,name_short
49,22,2019,8.792518512227461e-13,Inf,1.3204696539656983e-12,Inf,Hotels & restaurants
49,22,2020,0,-1,0,-1,Hotels & restaurants
49,22,2021,0,NA,0,NA,Hotels & restaurants
49,22,2022,0,NA,0,NA,Hotels & restaurants
49,23,2007,1053.3241541566915,NA,1198.4184033427487,NA,Inland transport
49,23,2008,1739.6981813308814,0.6516265904143366,1747.0427643760017,0.45779033391257595,Inland transport
49,23,2009,1371.2825014321973,-0.21176988276026343,1569.4249207453686,-0.10166771372312322,Inland transport
49,23,2010,1384.46890114517,0.009616107329598833,1384.46890114517,-0.11784954931922265,Inland transport
49,23,2011,1608.068240678028,0.1615054981357158,1563.7997086151424,0.12953039777320963,Inland transport
49,23,2012,1870.5761346101856,0.16324425002105225,1740.3553106474646,0.11290167216406188,Inland transport
49,23,2013,760.5997482850726,-0.5933874413277618,676.8871099034403,-0.6110638409511804,Inland transport
49,23,2014,1051.3009122820959,0.38219992138107917,1024.3071289891159,0.5132613902711722,Inland transport
49,23,2015,969.3510236378102,-0.07795093458674374,1116.5210916287879,0.09002569642435021,Inland transport
49,23,2016,1012.5980592811691,0.04461442200892307,1565.1200269947506,0.4017827685740749,Inland transport
49,23,2017,1026.362717794372,0.013593407953965686,1446.5844479718241,-0.07573577551782484,Inland transport
49,23,2018,1053.7126972240856,0.026647479449066536,1434.0769961317,-0.00864619542789924,Inland transport
49,23,2019,1024.292683113565,-0.027920337477212676,1464.9782280627162,0.021547819269376545,Inland transport
49,23,2020,950.2927152906291,-0.07224494428486661,1303.4290334458724,-0.1102741266199403,Inland transport
49,23,2021,1210.0214777581798,0.2733144833043548,1604.2099156332717,0.23076122632639673,Inland transport
49,23,2022,670.9837063288337,-0.44547785418489216,868.0396032086912,-0.45889899149138025,Inland transport
49,24,2007,15.209704061629278,NA,17.38503755868633,NA,Water transport
49,24,2008,55.29101747695944,2.6352461068881974,56.20975197628564,2.2332258004355454,Water transport
49,24,2009,33.54059979646195,-0.3933806732632693,38.98087061436634,-0.3065105387618149,Water transport
49,24,2010,28.892228244263418,-0.1385893985321296,28.892228244263418,-0.2588100832818435,Water transport
49,24,2011,36.5967642692054,0.26666465320035426,35.723233837017936,0.23643055616905628,Water transport
49,24,2012,25.354420567328727,-0.3071950191874373,23.692388602067158,-0.33677928739149876,Water transport
49,24,2013,9.299518083207355,-0.6332190649550653,8.219834570172237,-0.6530601152871915,Water transport
49,24,2014,8.451225229280046,-0.09121901224743212,8.364015072271505,0.01754056007677618,Water transport
49,24,2015,5.820332208248599,-0.31130314831942674,6.790565695972319,-0.1881212985274867,Water transport
49,24,2016,21.425405441051236,2.6811310204402186,36.481324340884385,4.3723542300050955,Water transport
49,24,2017,11.878149659886043,-0.44560443943210426,18.346664123817696,-0.49709435018353465,Water transport
49,24,2018,7.125203309514275,-0.400141982250236,10.828134650966716,-0.4098036254498387,Water transport
49,24,2019,5.12869549673518,-0.2802036273285228,7.532386833415755,-0.30436893553560695,Water transport
49,24,2020,5.975928295186643,0.16519459948261583,8.626047124524579,0.14519438728996814,Water transport
49,24,2021,9.300340153810293,0.5563004933143731,12.844592922296554,0.48904738600120723,Water transport
49,24,2022,6.447645481137137,-0.30673014378989394,8.838809632002953,-0.3118653362178633,Water transport
49,25,2007,43.25991027048207,NA,48.55651188062873,NA,Air transport
49,25,2008,92.8911871835692,1.147281087796257,90.23426008351228,0.8583348883326725,Air transport
49,25,2009,73.97708159268502,-0.20361571602596273,82.23948519683866,-0.08860021547552355,Air transport
49,25,2010,81.13849865226264,0.09680588778843835,81.13849865226264,-0.013387566105755977,Air transport
49,25,2011,120.01280457827917,0.4791104909720003,113.29826563481667,0.39635644628306443,Air transport
49,25,2012,69.98516678486662,-0.4168525014410581,64.80974615704729,-0.4279723013065154,Air transport
49,25,2013,67.7094186408303,-0.03251757834673663,60.50996264009428,-0.06634470541720305,Air transport
49,25,2014,66.4301039263498,-0.01889419138667714,64.58501751720534,0.06734518911123755,Air transport
49,25,2015,55.35816356048018,-0.16667052603357269,63.67657650865804,-0.0140658165542078,Air transport
49,25,2016,57.845056287922446,0.04492368546014491,87.24587904678891,0.37014085603245617,Air transport
49,25,2017,69.19256711712767,0.19617079759976797,94.43953695908465,0.08245269565612223,Air transport
49,25,2018,132.76590419466595,0.9187885307091255,181.55207335405208,0.9224159626355264,Air transport
49,25,2019,143.15690297097075,0.07826556704701204,202.08909815994346,0.11311919729961595,Air transport
49,25,2020,48.84382813878907,-0.6588091309247337,60.663878933801904,-0.6998161727368912,Air transport
49,25,2021,83.72820749754268,0.7142024015732371,106.0758868406418,0.7485839795439841,Air transport
49,25,2022,51.416184459966644,-0.38591561916005857,64.23693712690012,-0.394424698768689,Air transport
49,26,2007,74.56671885981369,NA,85.62625180443759,NA,Other transport services
49,26,2008,73.68059498157815,-0.01188363779156576,75.12665415325154,-0.12262124558676413,Other transport services
49,26,2009,77.3728050313245,0.05011102381392951,89.62986218193797,0.1930500990913453,Other transport services
49,26,2010,81.12707176480491,0.048521786588459515,81.12707176480491,-0.09486559735943145,Other transport services
49,26,2011,108.81312355419631,0.34126773205442307,107.0748864740499,0.3198416280137679,Other transport services
49,26,2012,135.06994946679316,0.2413020144534237,126.33361940168223,0.17986227734455507,Other transport services
49,26,2013,97.78013789055858,-0.2760777783914271,86.82423108255323,-0.3127385133604659,Other transport services
49,26,2014,115.3238553557486,0.1794200524121372,113.21785888867004,0.3039891914622488,Other transport services
49,26,2015,72.11126432967109,-0.37470643773377355,83.22821613996939,-0.26488438346277343,Other transport services
49,26,2016,74.40585649257424,0.031820162692099974,122.32467584296151,0.4697500621332733,Other transport services
49,26,2017,101.3342795818788,0.3619126821286176,149.8198417573915,0.2247720316849875,Other transport services
49,26,2018,139.86143251430912,0.38019861680962674,204.30904555529418,0.36369818015252586,Other transport services
49,26,2019,167.84869961574566,0.20010711028984485,260.4935312720266,0.2749975438631602,Other transport services
49,26,2020,122.76619084524557,-0.2685901581228035,170.8722434352546,-0.34404419717886514,Other transport services
49,26,2021,183.0137660961525,0.49075054651530836,265.5289674225984,0.5539619664630333,Other transport services
49,26,2022,88.33879567059844,-0.5173106506961522,120.90380810164531,-0.5446681042930326,Other transport services
49,27,2007,23.7526092136538,NA,26.977729848037455,NA,Telecommunications
49,27,2008,27.318498959004984,0.15012623300775707,27.66872531871467,0.025613551420728076,Telecommunications
